N,BLOCK,GFLOPS
256,32,32.872106
256,32,26.812877
256,32,27.489135
256,32,25.700353
256,32,27.749238
256,32,27.172674
256,32,25.867486
256,32,29.475152
256,32,31.423734
256,32,30.4768
256,64,33.246246
256,64,34.380647
256,64,32.931676
256,64,30.914691
256,64,29.345448
256,64,33.717989
256,64,34.292318
256,64,34.481256
256,64,34.41423
256,64,34.034171
256,128,24.332576
256,128,24.1748
256,128,23.14763
256,128,24.445586
256,128,24.298914
256,128,24.302585
256,128,24.129134
256,128,24.277836
256,128,24.368253
256,128,23.736856
256,256,19.209206
256,256,19.646371
256,256,19.496346
256,256,19.590258
256,256,19.594611
256,256,19.362761
256,256,19.422252
256,256,19.617589
256,256,19.14926
256,256,19.306993
500,32,46.447407
500,32,43.666801
500,32,50.700338
500,32,48.425222
500,32,53.222537
500,32,50.71707
500,32,47.314393
500,32,50.92834
500,32,49.388122
500,32,51.474255
500,64,50.431852
500,64,56.20551
500,64,55.001807
500,64,57.387132
500,64,57.555308
500,64,58.003736
500,64,52.111797
500,64,56.706631
500,64,57.339106
500,64,61.811216
500,128,45.600533
500,128,44.716154
500,128,45.018166
500,128,44.615902
500,128,44.927491
500,128,44.997196
500,128,44.959242
500,128,45.857744
500,128,45.302731
500,128,45.774468
500,256,31.537213
500,256,30.92999
500,256,31.399385
500,256,31.286298
500,256,31.278038
500,256,30.929797
500,256,31.189355
500,256,31.251975
500,256,30.682673
500,256,31.031464
864,32,49.810052
864,32,53.036635
864,32,52.055487
864,32,58.030285
864,32,51.461064
864,32,50.685457
864,32,51.916596
864,32,51.800522
864,32,50.886488
864,32,51.499492
864,64,73.978309
864,64,74.03751
864,64,71.561809
864,64,73.776536
864,64,76.98583
864,64,73.762637
864,64,76.233087
864,64,75.111283
864,64,75.696569
864,64,74.649701
864,128,77.106734
864,128,75.632555
864,128,76.485514
864,128,77.064629
864,128,76.929076
864,128,75.79853
864,128,73.447994
864,128,75.964103
864,128,77.527102
864,128,76.36165
864,256,56.203694
864,256,55.116825
864,256,48.66186
864,256,55.799712
864,256,55.413225
864,256,55.503639
864,256,55.24945
864,256,55.435973
864,256,48.713012
864,256,55.298221
864,512,35.712911
864,512,35.852396
864,512,35.828834
864,512,35.977573
864,512,35.68007
864,512,35.780666
864,512,36.310798
864,512,35.898872
864,512,35.739454
864,512,36.055803
1372,32,42.972096
1372,32,40.889586
1372,32,41.804317
1372,32,39.051108
1372,32,41.991586
1372,32,44.166714
1372,32,38.00035
1372,32,39.31328
1372,32,43.231311
1372,32,42.705204
1372,64,83.475089
1372,64,81.673639
1372,64,79.993897
1372,64,79.823883
1372,64,81.935378
1372,64,78.43634
1372,64,78.367925
1372,64,77.623641
1372,64,77.655495
1372,64,78.515735
1372,128,92.490673
1372,128,93.573073
1372,128,95.686719
1372,128,98.118304
1372,128,96.617082
1372,128,96.815572
1372,128,95.010806
1372,128,94.328709
1372,128,94.242277
1372,128,96.118015
1372,256,94.415384
1372,256,96.107071
1372,256,93.030769
1372,256,97.848167
1372,256,95.593543
1372,256,97.917881
1372,256,95.451579
1372,256,84.996221
1372,256,96.052977
1372,256,93.291763
1372,512,63.884388
1372,512,64.86332
1372,512,64.531557
1372,512,64.938784
1372,512,64.535941
1372,512,64.640548
1372,512,65.143127
1372,512,64.92538
1372,512,64.629066
1372,512,63.913044
#2048,32,68.314729
#2048,32,68.632427
#2048,32,68.550244
#2048,32,69.51337
#2048,32,67.148414
#2048,32,68.016553
#2048,32,68.637303
#2048,32,67.236087
#2048,32,68.128673
#2048,32,68.583519
#2048,64,96.655611
#2048,64,93.6092
#2048,64,97.421358
#2048,64,96.844678
#2048,64,96.774239
#2048,64,96.811297
#2048,64,98.127176
#2048,64,97.838239
#2048,64,97.233471
#2048,64,96.855845
#2048,128,107.068398
#2048,128,107.53295
#2048,128,106.558216
#2048,128,107.428138
#2048,128,103.846885
#2048,128,108.193841
#2048,128,107.505463
#2048,128,100.010005
#2048,128,107.608397
#2048,128,109.035652
#2916,32,48.131818
#2916,32,49.298697
#2916,32,49.903568
#2916,32,47.968913
#2916,32,50.119486
#2916,32,50.615304
#2916,32,49.705872
#2916,32,48.723545
#4000,32,78.344423
#4000,32,78.522096
#4000,32,82.102056
#4000,32,79.560509
#4000,32,80.339686
#4000,32,77.603968
#4000,32,79.033981
#5324,32,40.653705
#5324,32,37.12116
#6912,32,68.354608
#6912,32,67.62624
